確定日,陽性者数
"2021-01-23",866
"2021-01-24",478
"2021-01-25",742
"2021-01-26",1077
"2021-01-27",934
"2021-01-28",813
"2021-01-29",761
"2021-01-30",601
"2021-01-31",316
"2021-02-01",523
"2021-02-02",669
"2021-02-03",573
"2021-02-04",563
"2021-02-05",604
"2021-02-06",390
"2021-02-07",194
"2021-02-08",397
"2021-02-09",532
"2021-02-10",465
"2021-02-11",263
"2021-02-12",411
"2021-02-13",363
"2021-02-14",200
"2021-02-15",338
"2021-02-16",435
"2021-02-17",418
"2021-02-18",324
"2021-02-19",315
"2021-02-20",266
"2021-02-21",138
"2021-02-22",322
"2021-02-23",182
"2021-02-24",321
"2021-02-25",287
"2021-02-26",420
"2021-02-27",234
"2021-02-28",110
"2021-03-01",231
"2021-03-02",334
"2021-03-03",276
"2021-03-04",297
"2021-03-05",333
"2021-03-06",214
"2021-03-07",143
"2021-03-08",246
"2021-03-09",345
"2021-03-10",329
"2021-03-11",303
"2021-03-12",328
"2021-03-13",255
"2021-03-14",153
"2021-03-15",287
"2021-03-16",432
"2021-03-17",317
"2021-03-18",297
"2021-03-19",360
"2021-03-20",273
"2021-03-21",178
"2021-03-22",323
"2021-03-23",462
"2021-03-24",370
"2021-03-25",391
"2021-03-26",419
"2021-03-27",314
"2021-03-28",206
"2021-03-29",341
"2021-03-30",467
"2021-03-31",477
"2021-04-01",452
"2021-04-02",472
"2021-04-03",403
"2021-04-04",231
"2021-04-05",405
"2021-04-06",539
"2021-04-07",538
"2021-04-08",533
"2021-04-09",587
"2021-04-10",413
"2021-04-11",266
"2021-04-12",524
"2021-04-13",645
"2021-04-14",640
"2021-04-15",728
"2021-04-16",761
"2021-04-17",597
"2021-04-18",388
"2021-04-19",659
"2021-04-20",920
"2021-04-21",788
"2021-04-22",796
"2021-04-23",875
"2021-04-24",730
"2021-04-25",419
"2021-04-26",733
"2021-04-27",953
"2021-04-28",1076
"2021-04-29",645
"2021-04-30",1030
"2021-05-01",952
"2021-05-02",710
"2021-05-03",593
"2021-05-04",637
"2021-05-05",573
"2021-05-06",893
"2021-05-07",1129
"2021-05-08",941
"2021-05-09",349
"2021-05-10",15
