公表日,陽性者数,経路不明者数,経路判明者数
"2020-06-30",0,0,0
"2020-07-01",1,1,0
"2020-07-02",0,0,0
"2020-07-03",0,0,0
"2020-07-04",0,0,0
"2020-07-05",0,0,0
"2020-07-06",1,1,0
"2020-07-07",1,1,0
"2020-07-08",0,0,0
"2020-07-09",0,0,0
"2020-07-10",4,2,2
"2020-07-11",3,1,2
"2020-07-12",1,1,0
"2020-07-13",3,0,3
"2020-07-14",4,4,0
"2020-07-15",7,2,5
"2020-07-16",5,1,4
"2020-07-17",7,5,2
"2020-07-18",2,0,2
"2020-07-19",2,2,0
"2020-07-20",4,2,2
"2020-07-21",8,6,2
"2020-07-22",6,2,4
"2020-07-23",16,6,10
"2020-07-24",7,3,4
"2020-07-25",7,3,4
"2020-07-26",4,2,2
"2020-07-27",6,3,3
"2020-07-28",19,13,6
"2020-07-29",17,8,9
"2020-07-30",8,2,6
"2020-07-31",18,5,13
"2020-08-01",18,10,8
"2020-08-02",10,0,10
"2020-08-03",9,3,6
"2020-08-04",10,5,5
"2020-08-05",11,4,7
"2020-08-06",7,4,3
"2020-08-07",3,2,1
"2020-08-08",6,4,2
"2020-08-09",5,1,4
"2020-08-10",7,2,5
"2020-08-11",8,1,7
"2020-08-12",3,2,1
"2020-08-13",5,4,1
"2020-08-14",3,1,2
"2020-08-15",1,1,0
"2020-08-16",2,2,0
"2020-08-17",0,0,0
"2020-08-18",0,0,0
"2020-08-19",2,2,0
"2020-08-20",5,5,0
"2020-08-21",4,1,3
"2020-08-22",2,0,2
"2020-08-23",1,1,0
"2020-08-24",1,0,1
"2020-08-25",1,1,0
"2020-08-26",0,0,0
"2020-08-27",1,1,0
"2020-08-28",2,1,1
"2020-08-29",1,0,1
"2020-08-30",1,0,1
"2020-08-31",0,0,0
"2020-09-01",0,0,0
"2020-09-02",1,1,0
"2020-09-03",0,0,0
"2020-09-04",0,0,0
"2020-09-05",0,0,0
"2020-09-06",0,0,0
"2020-09-07",1,1,0
"2020-09-08",4,0,4
"2020-09-09",0,0,0
"2020-09-10",0,0,0
"2020-09-11",0,0,0
"2020-09-12",2,2,0
"2020-09-13",2,1,1
"2020-09-14",4,0,4
"2020-09-15",2,1,1
"2020-09-16",0,0,0
"2020-09-17",0,0,0
"2020-09-18",1,0,1
"2020-09-19",0,0,0
"2020-09-20",1,1,0
"2020-09-21",3,1,2
"2020-09-22",8,0,8
"2020-09-23",5,0,5
"2020-09-24",3,1,2
"2020-09-25",10,1,9
"2020-09-26",11,1,10
"2020-09-27",16,3,13
"2020-09-28",16,1,15
"2020-09-29",14,1,13
"2020-09-30",15,8,7
"2020-10-01",3,1,2
"2020-10-02",8,1,7
"2020-10-03",14,5,9
"2020-10-04",1,0,1
"2020-10-05",1,0,1
"2020-10-06",5,2,3
"2020-10-07",4,0,4
"2020-10-08",4,1,3
"2020-10-09",5,2,3
"2020-10-10",3,1,2
"2020-10-11",4,0,4
"2020-10-12",12,0,12
"2020-10-13",1,1,0
"2020-10-14",1,1,0
"2020-10-15",3,2,1
"2020-10-16",1,1,0
"2020-10-17",2,0,2
"2020-10-18",1,1,0
"2020-10-19",1,1,0
"2020-10-20",0,0,0
"2020-10-21",1,1,0
"2020-10-22",0,0,0
"2020-10-23",2,1,1
"2020-10-24",1,0,1
"2020-10-25",1,1,0
"2020-10-26",0,0,0
"2020-10-27",1,0,1
"2020-10-28",1,1,0
"2020-10-29",1,0,1
"2020-10-30",0,0,0
"2020-10-31",3,0,3
"2020-11-01",0,0,0
"2020-11-02",0,0,0
"2020-11-03",0,0,0
"2020-11-04",3,2,1
"2020-11-05",2,1,1
"2020-11-06",3,2,1
