新型コロナウイルス感染者数（検査確定日別、公表日別、直近7日間平均）,,,,,,,,,,,
,,,,,,,,令和2年11月17日時点,,,
,43900,3,,43900,1,,43900,1.285714,,,
,43901,2,,43901,2,,43901,1.428571,,,
,43902,2,,43902,2,,43902,1.714286,,,
,43903,3,,43903,2,,43903,1.714286,,,
,43904,0,,43904,2,,43904,1.428571,,,
,43905,0,,43905,1,,43905,1.571429,,,
,43906,0,,43906,0,,43906,1.428571,,,
,43907,2,,43907,0,,43907,1.285714,,,
,43908,2,,43908,2,,43908,1.285714,,,
,43909,6,,43909,3,,43909,1.428571,,,
,43910,1,,43910,5,,43910,1.857143,,,
,43911,2,,43911,1,,43911,1.714286,,,
,43912,3,,43912,2,,43912,1.857143,,,
,43913,1,,43913,3,,43913,2.285714,,,
,43914,5,,43914,1,,43914,2.428571,,,
,43915,4,,43915,5,,43915,2.857143,,,
,43916,6,,43916,3,,43916,2.857143,,,
,43917,4,,43917,8,,43917,3.285714,,,
,43918,64,,43918,62,,43918,11.857143,,,
,43919,29,,43919,33,,43919,15.142857,,,
,43920,14,,43920,0,,43920,14.714286,,,
,43921,12,,43921,13,,43921,17.714286,,,
,43922,7,,43922,14,,43922,19,,,
,43923,17,,43923,5,,43923,19.285714,,,
,43924,28,,43924,20,,43924,21,,,
,43925,31,,43925,26,,43925,16,,,
,43926,11,,43926,26,,43926,16.142857,,,
,43927,11,,43927,18,,43927,18.714286,,,
,43928,38,,43928,13,,43928,17.428571,,,
,43929,35,,43929,34,,43929,20.285714,,,
,43930,28,,43930,30,,43930,23.857143,,,
,43931,41,,43931,33,,43931,25.714286,,,
,43932,40,,43932,36,,43932,27.142857,,,
,43933,17,,43933,44,,43933,29.714286,,,
,43934,16,,43934,19,,43934,29.857143,,,
,43935,34,,43935,16,,43935,30.285714,,,
,43936,58,,43936,35,,43936,30.428571,,,
,43937,35,,43937,58,,43937,34.428571,,,
,43938,31,,43938,35,,43938,34.714286,,,
,43939,23,,43939,34,,43939,34.428571,,,
,43940,22,,43940,18,,43940,30.714286,,,
,43941,19,,43941,22,,43941,31.142857,,,
,43942,19,,43942,21,,43942,31.857143,,,
,43943,23,,43943,20,,43943,29.714286,,,
,43944,20,,43944,24,,43944,24.857143,,,
,43945,10,,43945,18,,43945,22.428571,,,
,43946,8,,43946,8,,43946,18.714286,,,
,43947,7,,43947,8,,43947,17.285714,,,
,43948,8,,43948,7,,43948,15.142857,,,
,43949,6,,43949,8,,43949,13.285714,,,
,43950,10,,43950,5,,43950,11.142857,,,
,43951,3,,43951,9,,43951,9,,,
,43952,6,,43952,6,,43952,7.285714,,,
,43953,5,,43953,6,,43953,7,,,
,43954,5,,43954,5,,43954,6.571429,,,
,43955,1,,43955,5,,43955,6.285714,,,
,43956,2,,43956,1,,43956,5.285714,,,
,43957,5,,43957,2,,43957,4.857143,,,
,43958,3,,43958,5,,43958,4.285714,,,
,43959,3,,43959,3,,43959,3.857143,,,
,43960,0,,43960,3,,43960,3.428571,,,
,43961,3,,43961,0,,43961,2.714286,,,
,43962,3,,43962,3,,43962,2.428571,,,
,43963,2,,43963,3,,43963,2.714286,,,
,43964,0,,43964,2,,43964,2.714286,,,
,43965,2,,43965,0,,43965,2,,,
,43966,8,,43966,2,,43966,1.857143,,,
,43967,0,,43967,8,,43967,2.571429,,,
,43968,2,,43968,0,,43968,2.571429,,,
,43969,0,,43969,2,,43969,2.428571,,,
,43970,3,,43970,0,,43970,2,,,
,43971,1,,43971,1,,43971,1.857143,,,
,43972,0,,43972,3,,43972,2.285714,,,
,43973,0,,43973,0,,43973,2,,,
,43974,0,,43974,0,,43974,0.857143,,,
,43975,0,,43975,0,,43975,0.857143,,,
,43976,0,,43976,0,,43976,0.571429,,,
,43977,1,,43977,0,,43977,0.571429,,,
,43978,1,,43978,1,,43978,0.571429,,,
,43979,0,,43979,1,,43979,0.285714,,,
,43980,1,,43980,0,,43980,0.285714,,,
,43981,2,,43981,1,,43981,0.428571,,,
,43982,0,,43982,2,,43982,0.714286,,,
,43983,1,,43983,0,,43983,0.714286,,,
,43984,1,,43984,1,,43984,0.857143,,,
,43985,0,,43985,1,,43985,0.857143,,,
,43986,1,,43986,0,,43986,0.714286,,,
,43987,0,,43987,1,,43987,0.857143,,,
,43988,2,,43988,0,,43988,0.714286,,,
,43989,1,,43989,3,,43989,0.857143,,,
,43990,3,,43990,0,,43990,0.857143,,,
,43991,2,,43991,3,,43991,1.142857,,,
,43992,3,,43992,2,,43992,1.285714,,,
,43993,3,,43993,3,,43993,1.714286,,,
,43994,1,,43994,3,,43994,2,,,
,43995,0,,43995,1,,43995,2.142857,,,
,43996,0,,43996,0,,43996,1.714286,,,
,43997,0,,43997,0,,43997,1.714286,,,
,43998,2,,43998,0,,43998,1.285714,,,
,43999,1,,43999,1,,43999,1.142857,,,
,44000,0,,44000,2,,44000,1,,,
,44001,2,,44001,0,,44001,0.571429,,,
,44002,0,,44002,2,,44002,0.714286,,,
,44003,1,,44003,0,,44003,0.714286,,,
,44004,2,,44004,2,,44004,1,,,
,44005,6,,44005,3,,44005,1.428571,,,
,44006,4,,44006,4,,44006,1.857143,,,
,44007,3,,44007,4,,44007,2.142857,,,
,44008,6,,44008,4,,44008,2.714286,,,
,44009,3,,44009,5,,44009,3.142857,,,
,44010,4,,44010,3,,44010,3.571429,,,
,44011,7,,44011,4,,44011,3.857143,,,
,44012,7,,44012,7,,44012,4.428571,,,
,44013,11,,44013,7,,44013,4.857143,,,
,44014,10,,44014,11,,44014,5.857143,,,
,44015,14,,44015,9,,44015,6.571429,,,
,44016,8,,44016,16,,44016,8.142857,,,
,44017,8,,44017,7,,44017,8.714286,,,
,44018,14,,44018,9,,44018,9.428571,,,
,44019,9,,44019,11,,44019,10,,,
,44020,22,,44020,10,,44020,10.428571,,,
,44021,11,,44021,22,,44021,12,,,
,44022,16,,44022,12,,44022,12.428571,,,
,44023,29,,44023,14,,44023,12.142857,,,
,44024,21,,44024,31,,44024,15.571429,,,
,44025,29,,44025,18,,44025,16.857143,,,
,44026,24,,44026,25,,44026,18.857143,,,
,44027,31,,44027,29,,44027,21.571429,,,
,44028,19,,44028,32,,44028,23,,,
,44029,32,,44029,21,,44029,24.285714,,,
,44030,22,,44030,32,,44030,26.857143,,,
,44031,19,,44031,24,,44031,25.857143,,,
,44032,25,,44032,18,,44032,25.857143,,,
,44033,26,,44033,15,,44033,24.428571,,,
,44034,41,,44034,40,,44034,26,,,
,44035,27,,44035,33,,44035,26.142857,,,
,44036,16,,44036,26,,44036,26.857143,,,
,44037,23,,44037,21,,44037,25.285714,,,
,44038,24,,44038,22,,44038,25,,,
,44039,24,,44039,24,,44039,25.857143,,,
,44040,55,,44040,23,,44040,27,,,
,44041,47,,44041,49,,44041,28.285714,,,
,44042,37,,44042,49,,44042,30.571429,,,
,44043,80,,44043,36,,44043,32,,,
,44044,58,,44044,73,,44044,39.428571,,,
,44045,30,,44045,51,,44045,43.571429,,,
,44046,50,,44046,43,,44046,46.285714,,,
,44047,47,,44047,47,,44047,49.714286,,,
,44048,79,,44048,50,,44048,49.857143,,,
,44049,64,,44049,76,,44049,53.714286,,,
,44050,50,,44050,65,,44050,57.857143,,,
,44051,47,,44051,53,,44051,55,,,
,44052,35,,44052,46,,44052,54.285714,,,
,44053,17,,44053,41,,44053,54,,,
,44054,41,,44054,18,,44054,49.857143,,,
,44055,40,,44055,34,,44055,47.571429,,,
,44056,56,,44056,46,,44056,43.285714,,,
,44057,54,,44057,51,,44057,41.285714,,,
,44058,48,,44058,60,,44058,42.285714,,,
,44059,32,,44059,48,,44059,42.571429,,,
,44060,38,,44060,32,,44060,41.285714,,,
,44061,51,,44061,37,,44061,44,,,
,44062,61,,44062,46,,44062,45.714286,,,
,44063,59,,44063,64,,44063,48.285714,,,
,44064,38,,44064,54,,44064,48.714286,,,
,44065,38,,44065,43,,44065,46.285714,,,
,44066,29,,44066,36,,44066,44.571429,,,
,44067,30,,44067,27,,44067,43.857143,,,
,44068,42,,44068,33,,44068,43.285714,,,
,44069,51,,44069,43,,44069,42.857143,,,
,44070,31,,44070,45,,44070,40.142857,,,
,44071,34,,44071,39,,44071,38,,,
,44072,38,,44072,33,,44072,36.571429,,,
,44073,17,,44073,39,,44073,37,,,
,44074,16,,44074,17,,44074,35.571429,,,
,44075,24,,44075,18,,44075,33.428571,,,
,44076,35,,44076,24,,44076,30.714286,,,
,44077,37,,44077,33,,44077,29,,,
,44078,25,,44078,35,,44078,28.428571,,,
,44079,26,,44079,28,,44079,27.714286,,,
,44080,9,,44080,23,,44080,25.428571,,,
,44081,34,,44081,14,,44081,25,,,
,44082,24,,44082,32,,44082,27,,,
,44083,29,,44083,23,,44083,26.857143,,,
,44084,31,,44084,28,,44084,26.142857,,,
,44085,42,,44085,31,,44085,25.571429,,,
,44086,20,,44086,45,,44086,28,,,
,44087,12,,44087,20,,44087,27.571429,,,
,44088,31,,44088,11,,44088,27.142857,,,
,44089,36,,44089,30,,44089,26.857143,,,
,44090,35,,44090,37,,44090,28.857143,,,
,44091,49,,44091,34,,44091,29.714286,,,
,44092,41,,44092,40,,44092,31,,,
,44093,31,,44093,46,,44093,31.142857,,,
,44094,13,,44094,35,,44094,33.285714,,,
,44095,19,,44095,14,,44095,33.714286,,,
,44096,19,,44096,18,,44096,32,,,
,44097,31,,44097,20,,44097,29.571429,,,
,44098,29,,44098,26,,44098,28.428571,,,
,44099,39,,44099,31,,44099,27.142857,,,
,44100,22,,44100,38,,44100,26,,,
,44101,14,,44101,21,,44101,24,,,
,44102,41,,44102,17,,44102,24.428571,,,
,44103,31,,44103,40,,44103,27.571429,,,
,44104,39,,44104,34,,44104,29.571429,,,
,44105,38,,44105,38,,44105,31.285714,,,
,44106,38,,44106,34,,44106,31.714286,,,
,44107,40,,44107,42,,44107,32.285714,,,
,44108,18,,44108,37,,44108,34.571429,,,
,44109,44,,44109,22,,44109,35.285714,,,
,44110,45,,44110,41,,44110,35.428571,,,
,44111,37,,44111,44,,44111,36.857143,,,
,44112,36,,44112,39,,44112,37,,,
,44113,40,,44113,39,,44113,37.714286,,,
,44114,43,,44114,35,,44114,36.714286,,,
,44115,6,,44115,43,,44115,37.571429,,,
,44116,26,,44116,11,,44116,36,,,
,44117,41,,44117,24,,44117,33.571429,,,
,44118,50,,44118,31,,44118,31.714286,,,
,44119,36,,44119,54,,44119,33.857143,,,
,44120,36,,44120,43,,44120,34.428571,,,
,44121,26,,44121,32,,44121,34,,,
,44122,14,,44122,25,,44122,31.428571,,,
,44123,40,,44123,18,,44123,32.428571,,,
,44124,50,,44124,40,,44124,34.714286,,,
,44125,41,,44125,49,,44125,37.285714,,,
,44126,56,,44126,43,,44126,35.714286,,,
,44127,41,,44127,54,,44127,37.285714,,,
,44128,37,,44128,41,,44128,38.571429,,,
,44129,27,,44129,36,,44129,40.142857,,,
,44130,44,,44130,25,,44130,41.142857,,,
,44131,39,,44131,44,,44131,41.714286,,,
,44132,38,,44132,40,,44132,40.428571,,,
,44133,41,,44133,43,,44133,40.428571,,,
,44134,32,,44134,34,,44134,37.571429,,,
,44135,29,,44135,37,,44135,37,,,
,44136,14,,44136,24,,44136,35.285714,,,
,44137,43,,44137,21,,44137,34.714286,,,
,44138,33,,44138,40,,44138,34.142857,,,
,44139,55,,44139,30,,44139,32.714286,,,
,44140,46,,44140,58,,44140,34.857143,,,
,44141,61,,44141,42,,44141,36,,,
,44142,59,,44142,61,,44142,39.428571,,,
,44143,14,,44143,44,,44143,42.285714,,,
,44144,51,,44144,32,,44144,43.857143,,,
,44145,62,,44145,48,,44145,45.00000000000,,,
,44146,75,,44146,65,,44146,50.00000000000,,,
,44147,63,,44147,74,,44147,52.28571428571,,,
,44148,97,,44148,60,,44148,54.857,,,
,44149,71,,44149,88,,44149,58.714,,,
,44150,58,,44150,60,,44150,61.000,,,
,44151,69,,44151,77,,44151,67.429,,,
,,,,44152,79,,44152,71.85714285714,,,
