日付,検査件数,陽性人数,陽性累計,現在陽性者数,退院,退院済累計,退院判明,退院判明累計,死亡,リンク不明者
2020-05-17,364,0,1770,419,16,1281,16,1281,0,0
2020-05-18,345,1,1771,407,13,1294,13,1294,0,1
2020-05-19,502,3,1774,380,29,1323,29,1323,1,3
2020-05-20,583,3,1777,336,42,1365,42,1365,5,2
2020-05-21,484,3,1780,305,34,1399,34,1399,0,3
2020-05-22,472,1,1781,270,34,1433,34,1433,2,1
2020-05-23,541,0,1781,250,20,1453,20,1453,0,0
2020-05-24,289,0,1781,236,14,1467,14,1467,0,0
2020-05-25,152,0,1781,223,13,1480,13,1480,0,0
2020-05-26,301,0,1781,199,22,1502,22,1502,2,0
2020-05-27,432,1,1782,177,23,1525,23,1525,0,1
2020-05-28,423,0,1782,161,14,1539,14,1539,2,0
2020-05-29,391,0,1782,155,6,1545,6,1545,0,0
2020-05-30,398,0,1782,147,7,1552,7,1552,1,0
2020-05-31,205,1,1783,135,13,1565,13,1565,0,1
2020-06-01,120,0,1783,106,29,1594,29,1594,0,0
2020-06-02,370,0,1783,97,8,1602,8,1602,1,0
2020-06-03,417,0,1783,89,8,1610,8,1610,0,0
2020-06-04,398,0,1783,82,7,1617,7,1617,0,0
2020-06-05,338,0,1783,77,5,1622,5,1622,0,0
2020-06-06,474,1,1784,72,6,1628,6,1628,0,1
2020-06-07,233,1,1785,72,1,1629,1,1629,0,1
2020-06-08,133,0,1785,66,6,1635,6,1635,0,0
2020-06-09,398,0,1785,55,11,1646,11,1646,0,0
2020-06-10,386,0,1785,45,9,1655,9,1655,1,0
2020-06-11,385,1,1786,38,8,1663,8,1663,0,0
2020-06-12,368,0,1786,33,5,1668,5,1668,0,0
2020-06-13,332,0,1786,30,2,1670,2,1670,1,0
2020-06-14,163,1,1787,29,2,1672,2,1672,0,1
2020-06-15,136,0,1787,26,3,1675,3,1675,0,0
2020-06-16,317,3,1790,27,2,1677,2,1677,0,3
2020-06-17,396,4,1794,28,3,1680,3,1680,0,1
2020-06-18,418,4,1798,31,1,1681,1,1681,0,0
2020-06-19,336,2,1800,33,0,1681,0,1681,0,1
2020-06-20,276,6,1806,39,0,1681,0,1681,0,2
2020-06-21,198,3,1809,39,3,1684,3,1684,0,0
2020-06-22,177,0,1809,39,0,1684,0,1684,0,0
2020-06-23,334,0,1809,36,3,1687,3,1687,0,0
2020-06-24,440,2,1811,32,6,1693,6,1693,0,1
2020-06-25,404,1,1812,30,3,1696,3,1696,0,1
2020-06-26,453,2,1814,29,3,1699,3,1699,0,1
2020-06-27,414,2,1816,25,6,1705,6,1705,0,1
2020-06-28,214,5,1821,27,3,1708,3,1708,0,5
2020-06-29,138,7,1828,34,0,1708,0,1708,0,5
2020-06-30,441,5,1833,38,1,1709,1,1709,0,2
2020-07-01,494,10,1843,45,3,1712,3,1712,0,5
2020-07-02,482,8,1851,51,2,1714,2,1714,0,6
2020-07-03,568,11,1862,57,5,1719,5,1719,0,9
2020-07-04,473,17,1879,70,4,1723,4,1723,0,11
2020-07-05,277,6,1885,76,0,1723,0,1723,0,5
2020-07-06,262,8,1893,77,7,1730,7,1730,0,4
2020-07-07,653,12,1905,77,12,1742,12,1742,0,9
2020-07-08,752,10,1915,79,8,1750,8,1750,0,4
2020-07-09,745,30,1945,96,13,1763,13,1763,0,20
2020-07-10,643,22,1967,104,14,1777,14,1777,0,13
2020-07-11,759,28,1995,124,8,1785,8,1785,0,22
2020-07-12,405,32,2027,151,5,1790,5,1790,0,21
2020-07-13,315,18,2045,153,16,1806,16,1806,0,9
2020-07-14,868,20,2065,153,20,1826,20,1826,0,12
2020-07-15,1059,61,2126,210,4,1830,4,1830,0,40
2020-07-16,1143,66,2192,257,19,1849,19,1849,0,34
2020-07-17,1319,53,2245,286,24,1873,24,1873,0,36
2020-07-18,1227,86,2331,357,15,1888,15,1888,0,46
2020-07-19,859,89,2420,427,19,1907,19,1907,0,59
2020-07-20,846,49,2469,452,24,1931,24,1931,0,33
2020-07-21,1533,72,2541,497,27,1958,27,1958,0,46
2020-07-22,1528,121,2662,564,54,2012,54,2012,0,85
2020-07-23,1482,104,2766,634,34,2046,34,2046,0,78
2020-07-24,1163,149,2915,748,34,2080,34,2080,1,91
2020-07-25,1000,132,3047,831,48,2128,48,2128,1,80
2020-07-26,1089,141,3188,878,94,2222,94,2222,0,87
2020-07-27,1348,86,3275,887,78,2300,78,2300,0,57
2020-07-28,2099,155,3430,924,118,2418,118,2418,0,104
2020-07-29,2092,221,3651,1085,59,2477,59,2477,1,163
2020-07-30,2070,190,3841,1154,121,2598,121,2598,0,135
2020-07-31,2328,216,4057,1265,104,2702,104,2702,1,146
2020-08-01,2293,195,4252,1342,118,2820,118,2820,0,137
2020-08-02,1562,194,4446,1445,91,2911,91,2911,0,142
2020-08-03,1266,81,4527,1423,102,3013,102,3013,1,55
2020-08-04,2379,193,4720,1509,106,3119,106,3119,1,129
2020-08-05,2107,196,4916,1538,167,3286,167,3286,0,122
2020-08-06,2481,225,5141,1504,258,3544,258,3544,1,147
2020-08-07,2558,255,5396,1660,97,3641,97,3641,2,143
2020-08-08,1961,178,5574,1667,171,3812,171,3812,0,130
2020-08-09,1730,195,5769,1754,107,3919,107,3919,1,119
2020-08-10,1009,123,5892,1704,173,4092,173,4092,0,59
2020-08-11,1682,101,5994,1641,164,4256,164,4256,1,42
2020-08-12,2686,184,6178,1674,150,4406,150,4406,1,111
2020-08-13,2428,177,6355,1719,129,4535,129,4535,3,109
2020-08-14,2505,192,6547,1722,184,4719,184,4719,5,94
2020-08-15,2048,151,6698,1700,173,4892,173,4892,0,88
2020-08-16,1747,147,6845,1692,157,5049,157,5049,0,84
2020-08-17,823,71,6916,1633,130,5179,130,5179,5,41
2020-08-18,2599,185,7101,1700,105,5284,105,5284,6,96
2020-08-19,2923,187,7288,1718,164,5448,164,5448,5,105
2020-08-20,2247,132,7420,1731,123,5571,123,5571,1,68
2020-08-21,2500,166,7586,1710,177,5748,177,5748,5,102
2020-08-22,2066,134,7720,1751,92,5840,92,5840,1,92
2020-08-23,1817,121,7841,1729,143,5983,143,5983,0,62
2020-08-24,1008,60,7901,1608,179,6162,179,6162,2,32
2020-08-25,2620,119,8020,1566,158,6320,158,6320,3,76
2020-08-26,2253,119,8139,1560,123,6443,123,6443,2,78
2020-08-27,2141,94,8233,1498,154,6597,154,6597,2,48
2020-08-28,2120,106,8339,1451,144,6741,144,6741,9,61
2020-08-29,1780,90,8429,1358,183,6924,183,6924,0,62
2020-08-30,1113,62,8491,1316,103,7027,103,7027,1,35
2020-08-31,868,53,8544,1211,154,7181,154,7181,4,31
2020-09-01,2355,114,8656,1235,87,7266,87,7266,3,56
2020-09-02,1931,96,8752,992,335,7603,335,7603,2,54
2020-09-03,1994,74,8826,963,103,7706,103,7706,0,44
2020-09-04,2044,74,8900,938,95,7801,95,7801,4,44
2020-09-05,2684,76,8976,945,67,7868,67,7868,2,43
2020-09-06,1205,67,9043,949,61,7929,61,7929,2,33
2020-09-07,902,45,9088,872,121,8050,121,8050,1,26
2020-09-08,2270,81,9169,839,112,8162,112,8162,2,50
2020-09-09,1700,63,9232,799,100,8262,100,8262,3,42
2020-09-10,2706,92,9324,791,99,8361,99,8361,1,50
2020-09-11,1817,120,9444,815,93,8454,93,8454,3,58
2020-09-12,1535,83,9527,832,64,8518,64,8518,2,42
2020-09-13,1134,77,9604,865,43,8561,43,8561,2,34
2020-09-14,1009,32,9636,845,50,8611,50,8611,1,20
2020-09-15,2565,89,9725,839,89,8700,89,8700,6,54
2020-09-16,1757,78,9803,821,94,8794,94,8794,2,52
2020-09-17,1842,57,9860,763,115,8909,115,8909,0,34
2020-09-18,2148,60,9920,716,105,9014,105,9014,2,50
2020-09-19,1713,81,10001,722,73,9087,73,9087,2,52
2020-09-20,901,59,10060,721,60,9147,60,9147,0,36
2020-09-21,450,39,10099,733,26,9173,26,9173,1,24
2020-09-22,625,67,10166,762,37,9210,37,9210,1,47
2020-09-23,1116,39,10205,753,47,9257,47,9257,1,21
2020-09-24,2228,66,10271,620,195,9452,195,9452,4,52
2020-09-25,2168,62,10333,597,84,9536,84,9536,1,43
2020-09-26,1645,66,10399,634,46,9582,46,9582,1,47
2020-09-27,957,48,10447,624,40,9622,40,9622,0,29
2020-09-28,867,36,10483,575,83,9705,83,9705,2,22
2020-09-29,2259,51,10534,546,79,9784,79,9784,1,37
2020-09-30,2127,59,10593,526,69,9853,69,9853,2,41
2020-10-01,1829,76,10669,521,86,9939,86,9939,3,49
2020-10-02,1773,50,10719,496,69,10008,69,10008,6,29
2020-10-03,1430,51,10770,506,39,10047,39,10047,2,31
2020-10-04,773,39,10809,519,25,10072,25,10072,1,21
2020-10-05,723,31,10840,485,64,10136,64,10136,1,18
2020-10-06,2205,59,10899,462,81,10217,81,10217,1,42
2020-10-07,1845,51,10950,463,49,10266,49,10266,1,36
2020-10-08,2074,49,10999,451,61,10327,61,10327,0,29
2020-10-09,1785,58,11057,458,51,10378,51,10378,0,39
2020-10-10,1420,52,11109,456,52,10430,52,10430,2,32
2020-10-11,818,45,11154,483,18,10448,18,10448,0,27
2020-10-12,882,26,11180,436,72,10520,72,10520,1,23
2020-10-13,2109,69,11249,453,52,10572,52,10572,0,54
2020-10-14,1897,61,11310,463,51,10623,51,10623,0,41
2020-10-15,2019,51,11361,466,48,10671,48,10671,0,28
2020-10-16,2141,53,11414,473,44,10715,44,10715,2,37
2020-10-17,1610,50,11464,483,39,10754,39,10754,1,26
2020-10-18,825,50,11514,480,53,10807,53,10807,0,28
2020-10-19,904,41,11555,461,60,10867,60,10867,0,16
2020-10-20,2102,65,11620,460,66,10933,66,10933,0,31
2020-10-21,1963,82,11702,489,51,10984,51,10984,2,38
2020-10-22,2027,78,11780,511,54,11038,54,11038,2,46
2020-10-23,2016,100,11880,557,53,11091,53,11091,1,59
2020-10-24,1597,96,11976,615,37,11128,37,11128,1,54
2020-10-25,909,70,12046,628,56,11184,56,11184,1,47
2020-10-26,1203,43,12089,617,53,11237,53,11237,1,26
2020-10-27,2428,142,12231,670,89,11326,89,11326,0,71
2020-10-28,2252,117,12348,740,46,11372,46,11372,1,67
2020-10-29,2307,125,12473,795,69,11441,69,11441,1,75
2020-10-30,2135,137,12610,832,99,11540,99,11540,1,65
2020-10-31,1977,143,12753,925,46,11586,46,11586,4,97
2020-11-01,1310,123,12876,996,50,11636,50,11636,2,58
2020-11-02,1077,74,12950,937,131,11767,131,11767,2,30
2020-11-03,2044,156,13106,1042,50,11817,50,11817,1,80
2020-11-04,1717,85,13191,1021,106,11923,106,11923,0,48
2020-11-05,2878,125,13316,1053,91,12014,91,12014,2,80
2020-11-06,2775,169,13485,169,81,12095,81,12095,0,116
2020-11-07,2002,191,13676,1189,143,12238,143,12238,0,140
2020-11-08,1805,140,13816,1257,72,12310,72,12310,0,87
2020-11-09,1573,78,13894,1203,128,12438,128,12438,4,35
2020-11-10,3370,226,14120,1297,129,12567,129,12567,3,154
2020-11-11,3313,256,14376,1468,84,12651,84,12651,1,147
2020-11-12,2961,231,14607,1600,99,12750,99,12750,0,139
2020-11-13,2919,263,14870,1658,203,12953,203,12953,2,173
2020-11-14,2643,285,15155,1815,127,13080,127,13080,1,166
2020-11-15,1847,266,15421,1980,100,13180,100,13180,1,141
2020-11-16,1343,73,15494,1814,236,13416,236,13416,3,42
2020-11-17,3982,269,15763,1955,127,13543,127,13543,1,180
2020-11-18,4206,273,16036,2055,173,13716,173,13716,0,161
2020-11-19,3628,338,16374,2183,207,13923,207,13923,3,216
2020-11-20,4362,370,16744,2348,201,14124,201,14124,4,232
2020-11-21,3737,415,17159,2632,126,14250,126,14250,5,251
2020-11-22,2611,490,17649,2991,131,14381,131,14381,0,374
2020-11-23,1544,281,17930,3200,71,14452,71,14452,1,193
2020-11-24,2181,210,18140,3229,177,14629,177,14629,4,136
2020-11-25,5827,318,18458,3315,229,14858,229,14858,3,196
2020-11-26,4926,326,18784,3452,177,15035,177,15035,12,206
2020-11-27,4573,383,19167,3543,287,15322,287,15322,5,251
2020-11-28,3999,463,19630,463,185,15507,185,15507,8,307
2020-11-29,2714,381,20011,3997,191,15698,191,15698,6,241
2020-11-30,3086,262,20273,4138,117,15815,117,15815,4,157
2020-12-01,4676,318,20591,4192,258,16073,258,16073,6,220
2020-12-02,5943,427,21018,4440,172,16245,172,16245,7,241
2020-12-03,4675,386,21404,4568,250,16495,250,16495,8,236
2020-12-04,4770,394,21798,4476,481,16976,481,16976,5,186
2020-12-05,4286,399,22197,4498,371,17347,371,17347,6,218
2020-12-06,2348,310,22507,4440,367,17714,367,17714,1,167
2020-12-07,2950,228,22735,4249,410,18124,410,18124,9,119
2020-12-08,3895,258,22993,4209,289,18413,289,18413,9,158
2020-12-09,5214,427,23420,4215,412,18825,412,18825,9,258
2020-12-10,5042,415,23835,4381,240,19065,240,19065,9,214
2020-12-11,4978,357,24192,4272,459,19524,459,19524,7,183
